ACT Prep (HS),Elective,HS,Elizabeth Bills,Spring Semester Only: ACT Prep prepares students for standardized college admissions tests. Students will take practice tests and learn testing techniques to help prepare them for tests. ,"10,11,12","10,11,12",Thursday,2:30, 3:30,15,9,12
Advanced Science Survey,Science,MS,Cameron Simons,"The purpose of Advanced Science Survey is to cover subjects ranging from ecology, chemistry, biology and physics at a deeper dive.","7,8","7,8",Tuesday,11:30, 13:00,60,11,15
Algebra 1 (HS),Math,HS,Becky Gore,Will cover the topics normally covered in a high school Algebra course. This course is designed to qualify for a high school math credit in Algebra 1 and meets on Tuesdays AND Thursdays.  The textbook for this class is included in the class fee.,"8,9,10","8,9,10",Tuesday/Thursday,9:45, 11:00,50,9,15
Algebra 2 (HS),Math,HS,Elizabeth Bills,Will cover the topics normally covered in a high school Algebra 2 course. This course is designed to qualify for a high school math credit in Algebra 2 and meets on Tuesdays AND Thursdays. Algebra 1 credit required prerequisite. The textbook for this class is included in the class fee.,"9,10,11,12","10,11,12",Tuesday/Thursday,8:30, 9:45,50,9,15
American Lit,English Language Arts,MS,,"Designed for students who want to hone their writing skills and explore a wide-range of young, contemporary voices and perspectives. Assignments include essays (both creative and critical), as well as frequent short-answer responses and weekly reading. Students will have the opportunity to write a compare and contrast essay analyzing a novel with its film adaptation. Reading assignments encompass novels, graphic novels and memoirs. The course will culminate in a final project in which they contribute to the canon with their own stories, either producing an autobiography or their own graphic novel/ memoir.","7,8","7,8",Tuesday,13:00, 14:30,15,11,15
American Sign Language (ASL) (HS),World Languages,HS,Heather Olmstead,Designed to introduce beginner students to American Sign Language. This course is designed to qualify for one year of a high school language credit.,"8,9,10,11","8,9,10,11",Thursday,9:45, 11:00,30,9,14
Award Winning Lit,English Language Arts,MS,Jilah Kalil,Designed for students who can write a strong paragraph and understand plot and detail when reading independently; will focus on writing personal essays. Book selections will be literary award winning books. ,"6,7","6,7",Tuesday,13:00, 14:30,15,11,15
Being Embodied (HS),Elective,HS,,"With the goal of developing self-awareness, learning to manage stress and to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities, breathing exercises, mindful movement, art activities, as well as journaling, mindfulness activities, and positive affirmations. All activities will be designed to build creativity, compassion, self-awareness, emotional regulation, and community. ","8,9,10,11,12","8,9,10,11,12",Tuesday,9:45, 11:00,20,9,15
Being Embodied,Elective,MS,,"With the goal of developing self-awareness, learning to manage stress and to connect mind, body, and breath, students will engage in a series of social-emotional learning games and activities, breathing exercises, mindful movement, art activities, as well as journaling, mindfulness activities, and positive affirmations. All activities will be designed to build creativity, compassion, self-awareness, emotional regulation, and community. ","5,6,7,8","5,6,7,8",Thursday,11:30, 13:00,20,11,15
Biology (HS),Science,HS,Mary West,"This course will give students a general introduction to a range of topics including basic biological concepts, the chemistry of life, structure and function of prokaryotic and eukaryotic cells, DNA and gene expression, cellular replication (mitosis and meiosis), and modern applications of biotechnology. This class will meet the Tennessee high school graduation requirement for biology with a lab and is a prerequisite for upper-level science classes at WEB.","9,10","9,10",Thursday,11:30, 13:00,60,9,15
