Musical Theater Dance,extracurricular,MS ,Rachel Parker,"Musical Theater Dance will be a fun, high energy class focusing on choreography from popular Broadway musicals. We will study jazz and ballet fundamentals as well as practice character expression and stage presence, with the goal of building confidence while performing. Everyone is welcome and no dance or theater experience is necessary.","5,6,7,8,9","5,6,7,8",Thursday,14:30,15:30,0,8,20
Theater Club,extracurricular,MS ,Shannon Dilks,"We will spend each class working on dramatic exercises and games to strengthen acting skills and build confidence. This class is all about gaining confidence in character building, the ins and outs of theater and how staging works. There will be no large productions or performances outside of our club time.","5,6,7,8,9","5,6,7,8",Tuesday,14:30,15:30,0,8,20
Yoga,extracurricular,MS,Rachel Parker,"n this yoga class geared toward the unique needs of middle schoolers, students will learn, not only balance, strength, and flexibility but also mind-body connection, self-awareness, and how to build a practice of self-care in a way that is enjoyable and long-lasting. Classes include yoga-based games, challenges, breathing exercises, meditations, and activities designed to promote a strong sense of community. A yoga mat will be provided, but students are welcome to bring their own if they prefer.","5,6,7,8,9","5,6,7,8",Tuesday,14:30,15:30,0,8,15
Strength & Conditioning,extracurricular,MS/HS,Rod Steward,"Join Coach Rod for an afternoon club where you will be sure to get your sweat on! He will cover proper technique for stretching and calisthenics, with a little running and some fun fitness games too.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,14:30,15:30,0,8,20
Strength & Conditioning,extracurricular,MS/HS,Rod Steward,"Join Coach Rod for an afternoon club where you will be sure to get your sweat on! He will cover proper technique for stretching and calisthenics, with a little running and some fun fitness games too.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,14:30,15:30,0,8,20
Spanish Book Club,extracurricular,HS,Rowena Aldridge,"Spanish Book Club is designed for students who are interested in learning the Spanish language through literature. We'll read and discuss books written for Spanish language learners and explore the corresponding culture through food, music, and art, in a supportive and inclusive environment. Our goal is to build confidence and improve language skills while discovering new stories and perspectives. Whether you're just starting out or want to brush up on your Spanish, come immerse yourself in the rich history and vibrant culture of Spanish-speaking countries.","9,10,11,12","9,10,11,12",Thursday,14:30,15:30,20,8,20
Knitting Club,extracurricular,MS/HS,Rowena Aldridge,"Knitting Club is designed for students who want to experience the benefits of a calming and soothing hobby that also allows them to create something unique, useful, and beautiful. Beginners will receive expert guidance and support, while those with more experience can work on refining their skills. We'll explore new techniques and share our progress in a fun and friendly setting. Students are asked to bring their own yarn and needles (suggestions available for those just starting out.) Knitters of all skill levels are welcome!","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,14:30,15:30,0,8,15
Open Art Studio,extracurricular,MS/HS,Evelyn Thoen,"Open Art Studio provides time and space for students to work on projects with a variety of materials and an art teacher present to provide guidance, inspiration, and instruction. Students can work on the recommended project or work on something of their own.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Thursday,14:30,15:30,0,8,15
Dungeons & Dragons,extracurricular,MS,Tim Clo,"Students teams, led by Dungeon Masters gather to play weekly with Mr. Tim available to supervise and provide necessary materials, tips, and support. Email Mr. Tim if your student is interested in being a Dungeon Master.","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,14:30,15:30,0,8,20
Being Embodied,extracurricular,MS,Lindsey Rhodes,"Class description: This class will help build self-awareness, learning to manage stress, as well as understand our oneness with nature, and to connect mind, body, and breath. All students will engage in a series of social-emotional learning games, weekly journaling and activities, music, breathing exercises, movement, art activities and positive affirmations. All activities will encourage self creativity, self-awareness, compassion, emotional regulation, mutual respect and social community.","5,6,7,8,9","5,6,7,8,9",Thursday,14:30,15:30,0,8,15
