Course Name,Subject Area,MS/HS,Teacher,Course Description,Grades (in registration system),Recommended for Grade(s):,Day,Time,Supply Fee,Class Min,Class Max,Tuition
¡Avancemos! (Spanish 2),World Languages,HS,Rowena Aldridge,"Building on the foundations of Spanish 1, this course will deepen students' understanding of grammar, vocabulary, and pronunciation. As they continue developing their skills, students will focus on improving fluency in listening, speaking, reading, and writing, with an emphasis on real-world application and cultural context.

Estimated out-of-class homeowrk time: 3 hours/week","10,11,12","10,11,12",Tuesday/Thursday,2:30-3:30,30,9,18,970
¡Hola mundo! (Intro to Spanish),World Languages,MS,Rowena Aldridge ,"In this introductory Spanish course, students will explore the language and culture of the Spanish-speaking world in a fun and accessible way. Through listening, speaking, reading, and writing, students will build a strong foundation in basic vocabulary, grammar, and sentence structure. Along the way, they’ll also discover the rich and diverse cultures of Spanish-speaking countries, gaining real-world context to deepen their understanding of the language. By the end of the course, students will be prepared to continue their journey in Spanish with confidence and curiosity.

Estimated out-of-class homeowrk time:  3 hours/week.","5,6,7,8","5,6,7,8",Thursday,1:00-2:25,30,11,15,595
Advanced STEAM,Elective,MS/HS,Dawn Ruiz,"Advanced STEAM (Science, Technology, Engineering, Art, Math) will take a multidisciplinary approach to problem solving and project based learning. Most of our projects will come from Galactic Polymath. This education studio translates current STEAM research into interdisciplinary lessons that incorporate social studies, ELA, sustainability and SEL into each STEAM/STEM lesson. There will be hands-on projects, but note that this is not a “maker lab” type class. Students will be expected to do some preparation and research outside of class. 

Estimated out of class homework time: 1-2 hours/week. ","7,8,9,10,11,12","8,9,10",Thursday,11:30-12:55,40,9,18,630
Algebra 1,Math,HS,Becky Gore,"This class will cover the standards required for a high school credit in Algebra 1. Topics include algebraic equations, functions and relations, systems of equations, linear, quadratic and exponential functions, and radical and rational equations. This class meets on both Tuesdays AND Thursdays. The textbook for this class is included in the class fee. 

Estimated out-of-class homework time: 4 hours/week","7,8,9,10,11",9,Tuesday/Thursday,8:30-9:40,50,9,18,970
Algebra 2,Math,HS,Elizabeth Bills,"This class will cover the topics normally covered in a high school Algebra 2 as identified by the TN state standards and will qualify for a high school math credit in Algebra 2. It meets two days a week and Algebra 1 is a required prerequisite. The textbook for this class is included in the class fee. Students will need to acquire a Texas Instruments nSpire cxii graphing calculator (NOT the CAS version). If they already have a Texas Instruments nSpire cx graphing calculator, that is acceptable. Substitute/alternative calculators will not suffice, as instruction will be tied to certain features that are unique to this specific unit.

Estimated out-of-class homework time: 4 hours/week","9,10,11,12","10,11",Tuesday/Thursday,8:30-9:40,50,9,18,970
American Sign Language (ASL) 1,World Languages,HS,Heather Olmstead,"Designed to introduce beginner students to American Sign Language. This course is designed to qualify for one year of a high school language credit.

Estimated out-of-class homework time: 1 hour/week","8,9,10,11,12","8,9,10,11",Thursday,1:00-2:25,30,9,18,630
Art around the World,Social Studies,MS,Evelyn Thoen,"Art Around the World will explore the history of art through time and place. Students will learn about various cultures around the world and explore the lives of famous artists. In this class, we will move from continent to continent, encountering art and architecture while learning what drives humans to create. We will explore key artists and movements from ancient art to the modern day, and create hands-on projects inspired by the artists we learn about.

Estimated out-of-class homework time: 1-2 hours/week","5,6,7,8","5,6,7,8",Thursday,11:30-12:55,30,11,15,595
Biology ,Science,HS,Mary West,"This course will give students a general introduction to a range of topics including basic biological concepts, the chemistry of life, structure and function of prokaryotic and eukaryotic cells, DNA and gene expression, cellular replication (mitosis and meiosis), cellular respiration, photosynthesis, and modern applications of biotechnology. This class will meet the Tennessee high school graduation requirement for biology with a lab.

Estimated out-of-class homework time: 2 hours/week","9,10","9,10",Thursday,1:00-2:25,40,9,18,630
Blues and Beyond Band,Elective,MS/HS,Dave Nooe,"This unique band class blends the best of rock bands, traditional orchestras and other ensembles! From beginner to advanced, students come together to explore our country's musical roots through original composition, collaboration, rehearsal, and performance. We focus on rhythm and melody, the foundational elements in roots music, while accommodating different learning styles. Blues and Beyond emphasizes inclusive learning. That's why we offer a variety of approaches, including ear training, numbers, letters, tab, and traditional iconic notation. Whether you bring your own instrument or use one of ours, all musicians are welcome!

Estimated out-of-class homeowrk time: 1-2 hours/week; plus rehearsals and performances ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,1:00-2:25,20,9,20,630
Book Club,English Language Arts,MS,Jill Altom ,"Students will read great books from multiple genres and analyze literary elements through critical thinking, group discussions, writing assignments, and creative response. They will explore the habits of good readers and how to get more out of the books they read. This class is an elective and not an all-encompassing English Language Arts class and should be accompanied by an additional grammar, usage, and writing mechanics curriculum of parents' choice. 

Estimated out-of-class homework time: 1-2 hours/week","5,6,7,8","5,6,7,8",Tuesday,9:45-10:55,10,11,15,595
Chemistry (HS),Science,HS,Jansen Gibson,"Students will learn the fundamentals of chemistry, from the atomic to the universal scale. Discussions will include real-life applications of environmental, organic, biological, and industrial chemistry, and integrate hands-on labs and experiments to make our understanding of the chemical world tactile and “explosive.” This class will meet the Tennessee high school graduation requirement for chemistry with a lab. Textbook included in class fee. 

Estimated out-of-class homework time: 3 hours/week","10,11,12","10,11,12",Thursday,11:30-12:55,40,9,18,630
Chemistry (MS) ,Science,MS,Jansen Gibson,"Students will investigate the world of atoms, molecules, reactions, explosions, energy, and more through a lab-based exploration of chemistry. This class will focus on the major concepts underlying chemistry, including physical and chemical properties, the structure of simple and complex compounds, polarity, energy, and reactivity. Textbook included in class fee.

Estimated out-of-class homework time: 2 hours/week","6,7,8","6,7",Tuesday,11:30-12:55,40,11,15,595
Choir - Block 3,Elective,MS/HS,Fleming McWilliams ,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music and grow a love and appreciation for music and its influence in society.

Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,11:30-12:55,20,9,20,630
Choir - Block 4,Elective,MS/HS,Fleming McWilliams ,"Students will learn to be confident in their singing voice and be able to demonstrate proper vocal techniques. Students will be exposed to choral elements, such as ensemble singing, blend, and vocal techniques. Students will sing and perform a variety of music and grow a love and appreciation for music and its influence in society.

Estimated out-of-class homework time: 30 mins/week, plus rehearsals and performances ","5,6,7,8,9,10,11,12","5,6,7,8,9,10,11,12",Tuesday,1:00-2:25,20,9,20,630
Computer Science,Math,HS,Becky Gore and Elizabeth Bills,"The Computer Science class will include the following topics: digital information, the internet, big data and privacy, programming and social issues in computing. The curriculum emphasizes both theoretical understanding and practical application, providing students with opportunities to engage in hands-on projects that reinforce their learning. This course meets one day per week. This course fulfills the Tennessee requirement for computer science and can be used as a math or a Science credit. The textbook is included in the class fees. Prerequisite: Algebra 1. 

Estimated out-of-class homework time: 2 hours/week","9,10,11,12","9,10,11,12",Thursday,11:30-12:55,50,9,24,630
Creative Writing,English Language Arts,MS,TBD,"Designed for middle school students, this class introduces the essentials of crafting compelling narratives, vivid poetry, and expressive prose. Students will explore key writing techniques such as character development, plot structure, dialogue, and descriptive language. Through interactive activities, peer collaboration, and personal journaling, students will develop their unique voices and learn how to shape their ideas into polished pieces. This is not an all-encompassing English Language Arts class and should be accompanied by an alternative Reading and Grammar curriculum of parents' choice. 

Estimated out-of-class homework time: 1-2 hours/week ","5,6,7,8,9","5,6,7,8",Thursday,9:45-10:55,10,11,15,595
Dungeons & Dragons,Extracurricular,MS/HS,Tim Clo,"Students in groups led by a Dungeon Master (DM) gather to play weekly. Mr. Tim is present to supervise and provide additional materials, tips, and support. We have a waitlist but can open space if we have enough Dungeon Master volunteers. Email Mr. Tim if your student is interested in being a DM: tim.clo@webtutorialnashville.com","7,8,9,10,11,12","7,8,9,10,11,12",Tuesday,2:30-3:30,0,8,18,385
