Course Name,Subject Area,MS/HS,Teacher,Course Description,Grades,Day,Time,Supply Fee,Class Min,Class Max,Tuition
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Tuesday,8:30-9:40,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Tuesday,9:45-10:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Tuesday,11:30-12:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Jill Altom,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Tuesday,13:00-14:25,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Thursday,8:30-9:40,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Thursday,9:45-10:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Thursday,11:30-12:55,0,0,18,295
Study Hall,Study Hall,MS/HS,Traci Steffen,"WEB study hall provides a quiet, but not silent, environment for students to work on their homework and/or play board games or puzzles with other study hall students. Students will also have the opportunity to contribute to packaging meals for Room In The Inn. Adult supervision is provided. Students may not take more than one study hall per day.Drop-in Study Hall is available as a convenience to parents for $10.","5,6,7,8,9,10,11,12",Thursday,13:00-14:25,0,0,18,295
Musical Theater Dance,Extracurricular,MS/HS,Rachel Parker,"Musical Theater Dance will be a fun, high energy class focusing on choreography from popular Broadway musicals. We will study jazz and ballet fundamentals as well as practice character expression and stage presence, with the goal of building confidence while performing. Everyone is welcome and no dance or theater experience is necessary.  Grades 5 - 12","5,6,7,8,9,10,11,12",Tuesday,14:30-15:30,0,8,15,385
Open Art Studio,Extracurricular,MS/HS,Charles Key,"Open Art Studio provides time and space for students to work on projects with a variety of materials and an art teacher present to provide guidance, inspiration, and instruction. Students can work on the recommended project or work on something of their own.  Grades 5 - 12","5,6,7,8,9,10,11,12",Thursday,14:30-15:30,0,8,15,385
Open Art Studio,Extracurricular,MS/HS,Erin Kice,"Open Art Studio provides time and space for students to work on projects with a variety of materials and an art teacher present to provide guidance, inspiration, and instruction. Students can work on the recommended project or work on something of their own.  Grades 5 - 12","5,6,7,8,9,10,11,12",Tuesday,14:30-15:30,0,8,15,385
Strength & Conditioning,Extracurricular,MS/HS,,"An afternoon club where you will be sure to get your sweat on! We will cover proper techniques for stretching, calisthenics, running, self defense techniques, and some fun fitness games too.  Grades 5 - 12","5,6,7,8,9,10,11,12",Thursday,14:30-15:30,0,8,16,385
Strength & Conditioning,Extracurricular,MS/HS,,"An afternoon club where you will be sure to get your sweat on! We will cover proper techniques for stretching, calisthenics, running, self defense techniques, and some fun fitness games too.  Grades 5 - 12","5,6,7,8,9,10,11,12",Tuesday,14:30-15:30,0,8,16,385
Dungeons & Dragons,Extracurricular,MS/HS,Tim Clo,"Students in groups led by a Dungeon Master (DM) gather to play weekly. Mr. Tim is present to supervise and provide additional materials, tips, and support. We have a waitlist but can open space if we have enough Dungeon Master volunteers. Email Mr. Tim if your student is interested in being a DM: tim.clo@webtutorialnashville.com Grades 7 - 12","7,8,9,10,11,12",Tuesday,14:30-15:30,0,8,18,385
Song Writing,Extracurricular,MS/HS,Dave Nooe,"Collaborate with peers to share ideas, workshop lyrics, and explore melodies in a supportive environment. Bring your musical vision to life while learning from each other's unique perspectives and styles.  Grades 9 - 12","8,9,10,11,12",Tuesday,14:30-15:30,0,8,18,385
The Writer's Nook,Extracurricular,MS/HS,Helena Sorenson,"Have you been writing a book since you were little? Trying to finish a short story for the last year? Do you enjoy writing but don’t know how to start, how to overcome creative blocks, or how to finish a project? This class is a gathering place for writers and creators. Each week you’ll be provided with writing prompts or discussion prompts about the creative process to open the class, while the remaining time is devoted to whatever project most excites you.  Grades 7 - 12","7,8,9,10,11,12",Thursday,14:30-15:30,0,8,15,385
Grounded,Elective,MS,Rachel Parker,"Grounded is a nature appreciation class that encourages curiosity, self-discovery, and playing in the dirt! This class will move with the seasons, appreciating each for what it offers, as we combine outdoor education with journaling, literature, and art activities. With the goal of connecting to the wonders of the world around us, we will cultivate indoor and outdoor gardens, build terrariums and fairy gardens, create cyanotypes, and calm our minds through landscape painting and mindfulness walks. We will build self-awareness, learn emotional regulation tools, and team building skills through our exploration of the natural world. Nature is the ultimate teacher and everyone feels better after playing outside!  Estimated out-of-class homework time: None to Minimal Grades 5 - 8","5,6,7,8",Thursday,13:00-14:25,15,11,15,595
US Geography,Social Studies,MS,Jill Altom,"In this course, students will explore and discover the historical and spatial growth of the United States. Students will learn about state cultures, capitals, landforms, landmarks, and map skills. Students will create and present quarterly projects on a state in each area of the country.  Estimated out of class homework is 1-3 hours per week Grades 5 - 8","5,6,7,8",Thursday,13:00-14:25,20,11,15,595
US History for Middle Schoolers,Social Studies,MS,Rowena Aldridge,"How does America tell its story and how does that telling shape its identity? Modern US History for Middle School explores how our nation constructs its identity by selecting specific historical events to emphasize. We will consider how choices about which stories to include and which to omit influence our collective understanding of America's past. Students will work with primary and secondary sources such as documents, images, speeches, maps, and historical artifacts to investigate the period from Reconstruction through the end of the 20th century. Class activities will include discussions, short investigations, simulations, and collaborative projects to help students think critically about the past and communicate their learning with others. Homework will include reading, source analysis, short writing assignments, and occasional project work.  Estimated out-of-class homework: 2 hours/week Grades 5 - 8","5,6,7,8",Thursday,13:00-14:25,20,11,15,595
Study Skills / Critical Thinking & Logic,Elective,MS,TBD & Kendra Andrus,"First Semester: Study Skills Study Skills supports students as they navigate middle school by building tools they can use in any class. Students will work on growth mindset, goals and priorities, organization, time management, and procrastination avoidance. They will practice effective note-taking, project planning, strategies for increasing memory, focus, and concentration, communication skills, self-advocacy, and managing test anxiety.  Second Semester: Critical Thinking, Logic, and Safety Online. We will investigate the differences between fact, interpretation, evidence, perspective, opinion, bias, belief, prejudice, story, worldview, crowdsourcing, and expert consensus. Students will learn and practice the processes of critical thinking—analysis, interpretation, inference, explanation, self-regulation, open-mindedness, and problem-solving—by examining real-world scenarios, current events, media, and the role of AI.  Estimated out of class homework time: Less than 1 hour per week Grades 5 - 8","5,6,7,8",Tuesday,11:30-12:55,30,11,15,595
Intro to Spanish,World Languages,MS,Rowena Aldridge,"In this introductory Spanish course, students will explore the language and culture of the Spanish-speaking world in a fun and accessible way. Through listening, speaking, reading, and writing, students will build a strong foundation in basic vocabulary, grammar, and sentence structure. Along the way, they’ll also discover the rich and diverse cultures of Spanish-speaking countries, gaining real-world context to deepen their understanding of the language. By the end of the course, students will be prepared to continue their journey in Spanish with confidence and curiosity.  Estimated out-of-class homework time: 3 hours/week Grades 5 - 8","5,6,7,8",Tuesday,13:00-14:25,30,11,15,595
Earth Science,Science,MS,Jansen Gibson,"In this class students will take a broad-ranging look at our planet and its place in the universe. We will learn about ecology, astronomy, geology, paleontology, agriculture, and environmental science, expanding our understanding of the Earth around us and its history!  Estimated out-of-class homework time: 2 hours/week Grades 7 - 8","6,7,8",Tuesday,13:00-14:25,40,11,15,595
General Science,Science,MS,Dawn Ruiz,"General Science is intended to give students a broad overview of scientific topics including the scientific method, engineering design process, life sciences, earth/space sciences, physical science and chemistry. There will be an emphasis on thinking like a scientist, scientific vocabulary and hands-on activities and investigations.  Estimated out-of-class homework time: 1-2 hours/week Grades 5 - 7","5,6,7,8",Tuesday,13:00-14:25,40,11,15,595
Life Science,Science,MS,Brenda Wolff,"In this class students will explore the diverse realm of biology (with a focus on human biology) on a microscopic and macroscopic level: from unicellular to complex organisms, DNA to proteins, cellular to organism for plants, animals, and humans.  Estimated out-of-class homework time: 3 hours/week Grades 5 - 8","5,6,7,8",Tuesday,11:30-12:55,40,11,15,595
